ligandID,SMILES,maxring,numring,PDBs,PDBs_num
5RH,CC1CCCC(C=CC(=O)OC23C(C=CC1)C(C(=C)C(C2C(NC3=O)Cc4ccccc4)C)O)O,14,4,5eqi,1
5SO,CC1C2CCC(C2=CC3(CCC(=C3C(C1O)OC4C(C(C5C(O4)COC(O5)(C)C)O)O)C(C)C)C)COC,8,5,5exa,1
5WP,CCOc1c(c(c2c3c1C(OC=CC(C(C(C(C(C(C(C(C=CCC(C(=O)Nc(c2O)c(c3)CNN4CCN(CC4)C)C)C)OP(=O)(O)O)C)O)C)OC(C)O)C)OC)O)O)C,23,5,5fbu,1
5WQ,CCOc1c(c(c2c3c1C(OC=CC(C(C(C(C(C(C(=O)C(C=CCC(C(=O)Nc(c2O)c(c3)CNN4CCN(CC4)C)C)C)C)O)C)OC(=O)C)C)OC)O)O)C,23,5,5fbt,1
60Z,CCC(Cc1ccccc1)C2C=CCC=CCC(C(C(C3CCC(C(O3)(C(=O)C(=O)N4CCCCC4C(=O)O2)O)C)C)O)C,19,4,6oqa,1
62B,CC1CCC23CCC(=O)C2C1(C(CC(C(C3C)O)(C)C=C)OC(=O)CSC4CCC(CC4O)N)C,8,4,5hl7,1
62U,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=C(C(=O)C(=C(C1)C2=O)OC)c3ccco3)C)OC)OC(=O)N)C)C)O)OC,19,3,4asf,1
63P,CNC(=O)C1Cc2ccc(cc2)NC(=O)C(Cc3cc(ccc3Cl)Oc4ccc(cc4)C5(CCCC5)CC(=O)N1)NC(=O)c6ccnn6C,22,9,5hi4,1
63Q,CNC(=O)C1Cc2ccc(cc2)NC(=O)C(Cc3cc(ccc3Cl)-c4cccc(c4)CCC(=O)N1)NC(=O)c5ccnn5C,20,6,5hi5,1
66C,c1ccc-2c(c1)CN(c3ccccc3-c4c2n(nn4)c5ccc(cc5)CC(C(=O)O)N)C(=O)CCN,8,5,5dy6,1
67O,Cc1cc2ccc1C(COC(=O)Nc3cc(c(c(c3)F)O)CN(C(=O)C2Nc4ccc5c(c4)ccnc5N)C)C,16,6,5i46,1
